text,real_labels,predicted_labels
We really enjoyed our stay since its located very central and the room was very comfortable .,"[{""aspect"": ""room"", ""opinion"": ""comfortable"", ""polarity"": ""POS"", ""category"": ""EXPERIENCE,AMBIENCE""}]","[{""aspect"": ""room"", ""polarity"": ""POS"", ""opinion"": ""comfortable"", ""category"": ""EXPERIENCE,AMBIENCE""}]"
Furthermore the staff is very friendly / caring and the infinity - pool at the rooftop is amazing .,"[{""aspect"": ""staff"", ""opinion"": ""friendly"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""pool"", ""opinion"": ""amazing"", ""polarity"": ""POS"", ""category"": ""FACILITY#POOL""}]","[{""aspect"": ""staff"", ""polarity"": ""POS"", ""opinion"": ""friendly"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""pool"", ""polarity"": ""POS"", ""opinion"": ""amazing"", ""category"": ""FACILITY#POOL""}]"
We stayed in the jungle view room .,"[{""aspect"": ""room"", ""opinion"": ""stayed"", ""polarity"": ""NEU"", ""category"": ""EXPERIENCE,AMBIENCE""}]","[{""aspect"": ""room"", ""polarity"": ""NEU"", ""opinion"": ""stayed"", ""category"": ""ROOM#VIEW""}]"
The room was very clean and comfortable .,"[{""aspect"": ""room"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}]","[{""aspect"": ""room"", ""polarity"": ""POS"", ""opinion"": ""clean"", ""category"": ""ROOM#CLEANLINESS""}]"
The facilities were new and the staff extremely helpful .,"[{""aspect"": ""facilities"", ""opinion"": ""new"", ""polarity"": ""POS"", ""category"": ""FACILITY#GENERAL""}, {""aspect"": ""staff"", ""opinion"": ""helpful"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}]","[{""aspect"": ""facilities"", ""polarity"": ""POS"", ""opinion"": ""new"", ""category"": ""FACILITY#GENERAL""}, {""aspect"": ""staff"", ""polarity"": ""POS"", ""opinion"": ""helpful"", ""category"": ""SERVICE#GENERAL""}]"
A very good hotel on the bisma strip .,"[{""aspect"": ""hotel"", ""opinion"": ""good"", ""polarity"": ""POS"", ""category"": ""HOTEL#GENERAL""}]","[{""aspect"": ""hotel"", ""polarity"": ""POS"", ""opinion"": ""good"", ""category"": ""HOTEL#GENERAL""}]"
"The poolarea is amazing , nice view .","[{""aspect"": ""poolarea"", ""opinion"": """", ""polarity"": ""POS"", ""category"": ""FACILITY#POOL""}, {""aspect"": ""view"", ""opinion"": ""nice"", ""polarity"": ""POS"", ""category"": ""ROOM#VIEW""}]","[{""aspect"": ""poolarea"", ""polarity"": ""POS"", ""opinion"": ""amazing"", ""category"": ""FACILITY#POOL""}, {""aspect"": ""view"", ""polarity"": ""POS"", ""opinion"": ""nice"", ""category"": ""ROOM#VIEW""}]"
"Staff is very helpful , they helped us with getting a mechanic for our bike .","[{""aspect"": ""Staff"", ""opinion"": ""helpful"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}]","[{""aspect"": ""Staff"", ""polarity"": ""POS"", ""opinion"": ""helpful"", ""category"": ""SERVICE#GENERAL""}]"
Service was top notch and breakfast at Pistachio Restaurant was amazing .,"[{""aspect"": ""Service"", ""opinion"": ""top notch"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""breakfast"", ""opinion"": ""amazing"", ""polarity"": ""POS"", ""category"": ""FOOD#TASTE""}]","[{""aspect"": ""Service"", ""polarity"": ""POS"", ""opinion"": ""top notch"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""breakfast"", ""polarity"": ""POS"", ""opinion"": ""amazing"", ""category"": ""FOOD#TASTE""}]"
"I really thought and expecting the stay to be a standard stay but it turns out to be a very nice , relaxing , tranquil stay .","[{""aspect"": ""stay"", ""opinion"": ""very nice"", ""polarity"": ""POS"", ""category"": ""EXPERIENCE,AMBIENCE""}]","[{""aspect"": ""stay"", ""polarity"": ""POS"", ""opinion"": ""very nice"", ""category"": ""EXPERIENCE,AMBIENCE""}]"
"Their foods were also delicious , a very generous and kind staffs .","[{""aspect"": ""foods"", ""opinion"": ""delicious"", ""polarity"": ""POS"", ""category"": ""FOOD#TASTE""}, {""aspect"": ""staffs"", ""opinion"": ""kind"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}]","[{""aspect"": ""foods"", ""polarity"": ""POS"", ""opinion"": ""delicious"", ""category"": ""FOOD#TASTE""}, {""aspect"": ""staffs"", ""polarity"": ""POS"", ""opinion"": ""kind"", ""category"": ""SERVICE#GENERAL""}]"
The room is comfortable and spacious .,"[{""aspect"": ""room"", ""opinion"": ""comfortable"", ""polarity"": ""POS"", ""category"": ""EXPERIENCE,AMBIENCE""}, {""aspect"": ""room"", ""opinion"": ""spacious"", ""polarity"": ""POS"", ""category"": ""ROOM#SPACE""}]","[{""aspect"": ""room"", ""polarity"": ""POS"", ""opinion"": ""comfortable"", ""category"": ""EXPERIENCE,AMBIENCE""}]"
My room has a terrace and directly open to the garden and rice field .,"[{""aspect"": ""terrace"", ""opinion"": ""has"", ""polarity"": ""NEU"", ""category"": ""ROOM#SPACE""}]","[{""aspect"": ""terrace"", ""polarity"": ""NEU"", ""opinion"": ""has"", ""category"": ""ROOM#SPACE""}]"
"All the staff is very friendly , but the road in is quite narrow .","[{""aspect"": ""staff"", ""opinion"": ""friendly"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""road"", ""opinion"": ""narrow"", ""polarity"": ""NEG"", ""category"": ""LOCATION#GENERAL""}]","[{""aspect"": ""staff"", ""polarity"": ""POS"", ""opinion"": ""friendly"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""road"", ""polarity"": ""NEG"", ""opinion"": ""narrow"", ""category"": ""LOCATION#GENERAL""}]"
All in all a good stay .,"[{""aspect"": ""stay"", ""opinion"": ""good"", ""polarity"": ""POS"", ""category"": ""EXPERIENCE,AMBIENCE""}]","[{""aspect"": ""stay"", ""polarity"": ""POS"", ""opinion"": ""good"", ""category"": ""EXPERIENCE,AMBIENCE""}]"
This is the perfect hotel for staycation .,"[{""aspect"": ""hotel"", ""opinion"": ""perfect"", ""polarity"": ""POS"", ""category"": ""HOTEL#GENERAL""}]","[{""aspect"": ""hotel"", ""polarity"": ""POS"", ""opinion"": ""perfect"", ""category"": ""HOTEL#GENERAL""}]"
"Really appreciated the services , staffs , foods , rooms , everthing .","[{""aspect"": ""services"", ""opinion"": ""appreciated"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""staffs"", ""opinion"": ""appreciated"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""foods"", ""opinion"": ""appreciated"", ""polarity"": ""POS"", ""category"": ""FOOD#GENERAL""}, {""aspect"": ""rooms"", ""opinion"": ""appreciated"", ""polarity"": ""POS"", ""category"": ""ROOM#GENERAL""}]","[{""aspect"": ""services"", ""polarity"": ""POS"", ""opinion"": ""appreciated"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""staffs"", ""polarity"": ""POS"", ""opinion"": ""appreciated"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""foods"", ""polarity"": ""POS"", ""opinion"": ""appreciated"", ""category"": ""FOOD#TASTE""}, {""aspect"": ""rooms"", ""polarity"": ""POS"", ""opinion"": ""appreciated"", ""category"": ""ROOM#GENERAL""}]"
"Although , all the facilities haven ' t ready yet , the magistic panorama at the pool in the morning , rice field , and the jungle are beautiful .","[{""aspect"": ""facilities"", ""opinion"": ""haven ' t ready"", ""polarity"": ""NEG"", ""category"": ""FACILITY#GENERAL""}, {""aspect"": ""magistic panorama"", ""opinion"": ""pool"", ""polarity"": ""POS"", ""category"": ""LOCATION#VIEW""}, {""aspect"": ""jungle"", ""opinion"": ""beautiful"", ""polarity"": ""POS"", ""category"": ""LOCATION#VIEW""}]","[{""aspect"": ""facilities"", ""polarity"": ""NEG"", ""opinion"": ""haven't ready"", ""category"": ""FACILITY#GENERAL""}, {""aspect"": ""magistic panorama"", ""polarity"": ""POS"", ""opinion"": ""pool"", ""category"": ""LOCATION#VIEW""}, {""aspect"": ""pool"", ""polarity"": ""POS"", ""opinion"": ""beautiful"", ""category"": ""FACILITY#POOL""}]"
"Nice services , love the bathroom , but there ' s no hanger available for clothes besides inside the closet .","[{""aspect"": ""services"", ""opinion"": ""Nice"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""bathroom"", ""opinion"": ""love"", ""polarity"": ""POS"", ""category"": ""ROOM#BATHROOM""}, {""aspect"": ""hanger"", ""opinion"": ""no"", ""polarity"": ""NEG"", ""category"": ""ROOM#GENERAL""}]","[{""aspect"": ""services"", ""polarity"": ""POS"", ""opinion"": ""Nice"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""bathroom"", ""polarity"": ""POS"", ""opinion"": ""love"", ""category"": ""ROOM#BATHROOM""}, {""aspect"": ""hanger"", ""polarity"": ""NEG"", ""opinion"": ""no"", ""category"": ""ROOM#FACILITY""}]"
"Overall is nice hotel to stay , would one day be here again .","[{""aspect"": ""hotel"", ""opinion"": ""nice"", ""polarity"": ""POS"", ""category"": ""HOTEL#GENERAL""}]","[{""aspect"": ""hotel"", ""polarity"": ""POS"", ""opinion"": ""nice"", ""category"": ""HOTEL#GENERAL""}]"
We stayed 2 nights in this hotel .,"[{""aspect"": ""hotel"", ""opinion"": ""stayed"", ""polarity"": ""NEU"", ""category"": ""HOTEL#GENERAL""}]","[{""aspect"": ""hotel"", ""polarity"": ""NEU"", ""opinion"": ""stayed"", ""category"": ""HOTEL#GENERAL""}]"
"The pool was exquisite , the staffs were friendly , and it was not dificult finding food in the neighbourhood .","[{""aspect"": ""pool"", ""opinion"": ""exquisite"", ""polarity"": ""POS"", ""category"": ""FACILITY#POOL""}, {""aspect"": ""staffs"", ""opinion"": ""friendly"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}]","[{""aspect"": ""pool"", ""polarity"": ""POS"", ""opinion"": ""exquisite"", ""category"": ""FACILITY#POOL""}, {""aspect"": ""staffs"", ""polarity"": ""POS"", ""opinion"": ""friendly"", ""category"": ""SERVICE#GENERAL""}]"
We rented bike for 2 days to go around .,"[{""aspect"": ""bike"", ""opinion"": ""rented"", ""polarity"": ""NEU"", ""category"": ""FACILITY#GENERAL""}]","[{""aspect"": ""bike"", ""polarity"": ""NEU"", ""opinion"": ""rented"", ""category"": ""FACILITY#GENERAL""}]"
"Nice , good and all the furniture , facility mostly are still new like a bathub , bed , etc .","[{""aspect"": ""furniture"", ""opinion"": ""new"", ""polarity"": ""POS"", ""category"": ""ROOM#GENERAL""}, {""aspect"": ""facility"", ""opinion"": ""like"", ""polarity"": ""POS"", ""category"": ""FACILITY#GENERAL""}, {""aspect"": ""bathub"", ""opinion"": ""new"", ""polarity"": ""POS"", ""category"": ""ROOM#BATHROOM""}, {""aspect"": ""bed"", ""opinion"": ""new"", ""polarity"": ""POS"", ""category"": ""ROOM#BED""}]","[{""aspect"": ""furniture"", ""polarity"": ""POS"", ""opinion"": ""new"", ""category"": ""FACILITY#GENERAL""}, {""aspect"": ""facility"", ""polarity"": ""POS"", ""opinion"": ""new"", ""category"": ""FACILITY#GENERAL""}]"
Very good experience .,"[{""aspect"": ""experience"", ""opinion"": ""Very"", ""polarity"": ""POS"", ""category"": ""EXPERIENCE,AMBIENCE""}]","[{""aspect"": ""experience"", ""polarity"": ""POS"", ""opinion"": ""good"", ""category"": ""EXPERIENCE,AMBIENCE""}]"
"loved the view , loved the room , spacious and clean .","[{""aspect"": ""view"", ""opinion"": ""loved"", ""polarity"": ""POS"", ""category"": ""ROOM#VIEW""}, {""aspect"": ""room"", ""opinion"": ""loved"", ""polarity"": ""POS"", ""category"": ""ROOM#GENERAL""}, {""aspect"": ""room"", ""opinion"": ""spacious"", ""polarity"": ""POS"", ""category"": ""ROOM#SPACE""}, {""aspect"": ""room"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}]","[{""aspect"": ""view"", ""polarity"": ""POS"", ""opinion"": ""loved"", ""category"": ""LOCATION#VIEW""}, {""aspect"": ""room"", ""polarity"": ""POS"", ""opinion"": ""loved"", ""category"": ""ROOM#GENERAL""}]"
"loved the food , very pretty and delicious .","[{""aspect"": ""food"", ""opinion"": ""loved"", ""polarity"": ""POS"", ""category"": ""FOOD#TASTE""}, {""aspect"": ""food"", ""opinion"": ""very pretty"", ""polarity"": ""POS"", ""category"": ""FOOD#TASTE""}, {""aspect"": ""food"", ""opinion"": ""delicious"", ""polarity"": ""POS"", ""category"": ""FOOD#TASTE""}]","[{""aspect"": ""food"", ""polarity"": ""POS"", ""opinion"": ""loved"", ""category"": ""FOOD#TASTE""}]"
"I love the workers who are so nice and swimmingpool which has a perfect jungle view ! The breakfast is not buffet style but they have good menus ( wetern , local both ) I love to visit again next time ! .","[{""aspect"": ""workers"", ""opinion"": ""love"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""workers"", ""opinion"": ""nice"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""view"", ""opinion"": ""perfect"", ""polarity"": ""POS"", ""category"": ""ROOM#VIEW""}, {""aspect"": ""breakfast"", ""opinion"": ""good menus"", ""polarity"": ""POS"", ""category"": ""FOOD#CHOICE""}]","[{""aspect"": ""workers"", ""polarity"": ""POS"", ""opinion"": ""love"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""swimmingpool"", ""polarity"": ""POS"", ""opinion"": ""perfect jungle view"", ""category"": ""FACILITY#POOL""}, {""aspect"": ""breakfast"", ""polarity"": ""POS"", ""opinion"": ""good menus"", ""category"": ""FOOD#CHOICE""}]"
"Very satisfied with the spa 🫶 🏻 Room was nice and clean , all the staffs are very friendly and approachable , the whole ambiance also relaxing .","[{""aspect"": ""spa"", ""opinion"": ""satisfied"", ""polarity"": ""POS"", ""category"": ""FACILITY#GENERAL""}, {""aspect"": ""Room"", ""opinion"": ""nice"", ""polarity"": ""POS"", ""category"": ""ROOM#GENERAL""}, {""aspect"": ""Room"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""staffs"", ""opinion"": ""friendly"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""staffs"", ""opinion"": ""approachable"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""ambiance"", ""opinion"": ""relaxing"", ""polarity"": ""POS"", ""category"": ""EXPERIENCE,AMBIENCE""}]","[{""aspect"": ""spa"", ""polarity"": ""POS"", ""opinion"": ""satisfied"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""Room"", ""polarity"": ""POS"", ""opinion"": ""nice"", ""category"": ""ROOM#GENERAL""}, {""aspect"": ""staffs"", ""polarity"": ""POS"", ""opinion"": ""clean"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""ambiance"", ""polarity"": ""POS"", ""opinion"": ""friendly"", ""category"": ""SERVICE#GENERAL""}]"
"Sunset view from the pool was nice , even though the music somehow didn ’ t fit , still okay .","[{""aspect"": ""view"", ""opinion"": ""nice"", ""polarity"": ""POS"", ""category"": ""ROOM#VIEW""}, {""aspect"": ""music"", ""opinion"": ""didn \u2019 t fit"", ""polarity"": ""NEG"", ""category"": ""HOTEL#GENERAL""}]","[{""aspect"": ""view"", ""polarity"": ""POS"", ""opinion"": ""nice"", ""category"": ""LOCATION#VIEW""}, {""aspect"": ""music"", ""polarity"": ""NEG"", ""opinion"": ""didn \u2019 t fit"", ""category"": ""LOCATION#ENTERTAINMENT""}]"
"So kind , food is so good .","[{""aspect"": ""food"", ""opinion"": ""good"", ""polarity"": ""POS"", ""category"": ""FOOD#TASTE""}]","[{""aspect"": ""food"", ""polarity"": ""POS"", ""opinion"": ""good"", ""category"": ""FOOD#TASTE""}]"
And room condition is very good .,"[{""aspect"": ""room"", ""opinion"": ""good"", ""polarity"": ""POS"", ""category"": ""ROOM#GENERAL""}]","[{""aspect"": ""room"", ""polarity"": ""POS"", ""opinion"": ""good"", ""category"": ""ROOM#GENERAL""}]"
"I worry about the bugs , But no bugs .","[{""aspect"": ""bugs"", ""opinion"": ""worry"", ""polarity"": ""NEG"", ""category"": ""ROOM#GENERAL""}]","[{""aspect"": ""bugs"", ""polarity"": ""NEG"", ""opinion"": ""worry"", ""category"": ""ROOM#GENERAL""}]"
"Love the place , the people , the food .","[{""aspect"": ""place"", ""opinion"": ""Love"", ""polarity"": ""POS"", ""category"": ""EXPERIENCE,AMBIENCE""}, {""aspect"": ""people"", ""opinion"": ""Love"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""food"", ""opinion"": ""Love"", ""polarity"": ""POS"", ""category"": ""FOOD#GENERAL""}]","[{""aspect"": ""place"", ""polarity"": ""POS"", ""opinion"": ""Love"", ""category"": ""HOTEL#GENERAL""}, {""aspect"": ""people"", ""polarity"": ""POS"", ""opinion"": ""Love"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""food"", ""polarity"": ""POS"", ""opinion"": ""Love"", ""category"": ""FOOD#TASTE""}]"
Top notch service .,"[{""aspect"": ""service"", ""opinion"": ""Top notch"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}]","[{""aspect"": ""service"", ""polarity"": ""POS"", ""opinion"": ""Top notch"", ""category"": ""SERVICE#GENERAL""}]"
We highly recommend this place for the location as well as its nice clean rooms with gorgeous infinity pool overlooking the jungle .,"[{""aspect"": ""rooms"", ""opinion"": ""nice"", ""polarity"": ""POS"", ""category"": ""ROOM#GENERAL""}, {""aspect"": ""rooms"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""pool"", ""opinion"": ""gorgeous"", ""polarity"": ""POS"", ""category"": ""FACILITY#POOL""}]","[{""aspect"": ""rooms"", ""polarity"": ""POS"", ""opinion"": ""nice"", ""category"": ""ROOM#GENERAL""}, {""aspect"": ""pool"", ""polarity"": ""POS"", ""opinion"": ""clean"", ""category"": ""ROOM#CLEANLINESS""}]"
My partner and I booked this hotel for 4 nights and it was exactly as advertised .,"[{""aspect"": ""hotel"", ""opinion"": ""booked"", ""polarity"": ""NEU"", ""category"": ""HOTEL#GENERAL""}]","[{""aspect"": ""hotel"", ""polarity"": ""POS"", ""opinion"": ""booked"", ""category"": ""HOTEL#GENERAL""}]"
"Amazing service , very clean and comfortable rooms , wonderful rooftop pool with good food .","[{""aspect"": ""service"", ""opinion"": ""Amazing"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""rooms"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""rooms"", ""opinion"": ""comfortable"", ""polarity"": ""POS"", ""category"": ""EXPERIENCE,AMBIENCE""}, {""aspect"": ""pool"", ""opinion"": ""wonderful"", ""polarity"": ""POS"", ""category"": ""FACILITY#POOL""}, {""aspect"": ""food"", ""opinion"": ""good"", ""polarity"": ""POS"", ""category"": ""FOOD#TASTE""}]","[{""aspect"": ""service"", ""polarity"": ""POS"", ""opinion"": ""Amazing"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""rooms"", ""polarity"": ""POS"", ""opinion"": ""comfortable"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""rooftop pool"", ""polarity"": ""POS"", ""opinion"": ""clean"", ""category"": ""EXPERIENCE,AMBIENCE""}, {""aspect"": ""food"", ""polarity"": ""POS"", ""opinion"": ""wonderful"", ""category"": ""FACILITY#POOL""}]"
"Wonderful people wonderful service , great food , beautiful facility ! I have had problems with my back since the long flight and everyone has been so helpful , they check on me and there isn ’ t anything they wouldn ’ t have done for me .","[{""aspect"": ""people"", ""opinion"": ""Wonderful"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""service"", ""opinion"": ""wonderful"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""food"", ""opinion"": ""great"", ""polarity"": ""POS"", ""category"": ""FOOD#TASTE""}, {""aspect"": ""facility"", ""opinion"": ""beautiful"", ""polarity"": ""POS"", ""category"": ""FACILITY#GENERAL""}]","[{""aspect"": ""people"", ""polarity"": ""POS"", ""opinion"": ""Wonderful"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""service"", ""polarity"": ""POS"", ""opinion"": ""wonderful"", ""category"": ""SERVICE#GENERAL""}, {""aspect"": ""food"", ""polarity"": ""POS"", ""opinion"": ""great"", ""category"": ""FOOD#TASTE""}, {""aspect"": ""facility"", ""polarity"": ""POS"", ""opinion"": ""beautiful"", ""category"": ""FACILITY#GENERAL""}]"
"Beautiful hotel with the most amazing view over the pool ! We had a room overlooking the rice paddy ’ s which was lovely , the room was very clean , very comfy bed and large shower / bathroom .","[{""aspect"": ""hotel"", ""opinion"": ""Beautiful"", ""polarity"": ""POS"", ""category"": ""EXPERIENCE,AMBIENCE""}, {""aspect"": ""view"", ""opinion"": ""amazing"", ""polarity"": ""POS"", ""category"": ""LOCATION#VIEW""}, {""aspect"": ""pool"", ""opinion"": ""view"", ""polarity"": ""POS"", ""category"": ""LOCATION#VIEW""}, {""aspect"": ""room"", ""opinion"": ""lovely"", ""polarity"": ""NEU"", ""category"": ""EXPERIENCE,AMBIENCE""}, {""aspect"": ""room"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""bed"", ""opinion"": ""comfy"", ""polarity"": ""POS"", ""category"": ""ROOM#BED""}, {""aspect"": ""shower"", ""opinion"": ""large"", ""polarity"": ""POS"", ""category"": ""ROOM#BATHROOM""}, {""aspect"": ""bathroom"", ""opinion"": ""large"", ""polarity"": ""POS"", ""category"": ""ROOM#BATHROOM""}]","[{""aspect"": ""hotel"", ""polarity"": ""POS"", ""opinion"": ""Beautiful"", ""category"": ""EXPERIENCE,AMBIENCE""}, {""aspect"": ""view"", ""polarity"": ""POS"", ""opinion"": ""amazing"", ""category"": ""LOCATION#VIEW""}, {""aspect"": ""pool"", ""polarity"": ""POS"", ""opinion"": ""view"", ""category"": ""LOCATION#VIEW""}, {""aspect"": ""room"", ""polarity"": ""POS"", ""opinion"": ""lovely"", ""category"": ""ROOM#VIEW""}, {""aspect"": ""bed"", ""polarity"": ""POS"", ""opinion"": ""clean"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""shower"", ""polarity"": ""POS"", ""opinion"": ""comfy"", ""category"": ""ROOM#BED""}, {""aspect"": ""bathroom"", ""polarity"": ""POS"", ""opinion"": ""large"", ""category"": ""ROOM#BATHROOM""}]"
The pool is amazing especially around sunset looking at the mountains and into the valley ! ! Highly recommend ! ! .,"[{""aspect"": ""pool"", ""opinion"": ""amazing"", ""polarity"": ""POS"", ""category"": ""FACILITY#POOL""}]","[{""aspect"": ""pool"", ""polarity"": ""POS"", ""opinion"": ""amazing"", ""category"": ""FACILITY#POOL""}]"
It is not in the “ city - center ” but you will enjoy the quiet and serene ambience .,"[{""aspect"": ""ambience"", ""opinion"": ""quiet"", ""polarity"": ""POS"", ""category"": ""EXPERIENCE,AMBIENCE""}, {""aspect"": ""ambience"", ""opinion"": ""serene"", ""polarity"": ""POS"", ""category"": ""EXPERIENCE,AMBIENCE""}]","[{""aspect"": ""ambience"", ""polarity"": ""POS"", ""opinion"": ""serene"", ""category"": ""EXPERIENCE,AMBIENCE""}]"
